customer_id,arm,p_churn,risk_vs_base,cltv,monthly_charges,tenure_months,offer_id,offer_name,cost,delta_prior,ev,min_ev_floor,lever_summary,levers,considered,vetoed,status,catalog_version,actual_churn
5357-TZHPP,treatment,0.6901,above,5745.0,84.4,9,OFF-CONTRACT-2Y,2-year contract at 15% off,151.92,0.18,561.71,20.0,"No tech support add-on; No online security add-on; No device protection; Rolling month-to-month contract; High bill, few add-ons; Under 12 months tenure; Premium fiber plan",NO_TECH_SUPPORT|NO_ONLINE_SECURITY|NO_DEVICE_PROTECTION|MONTH_TO_MONTH|HIGH_CHARGE_LOW_BUNDLE|NEW_CUSTOMER|FIBER_PREMIUM,OFF-CONTRACT-2Y:562|OFF-BUNDLE-ALL:435|OFF-CONTRACT-1Y:374|OFF-TECHSUP-12:257|OFF-SEC-12:138,,recommended,3,1
8699-ASUFO,treatment,0.7659,above,4969.0,74.4,7,OFF-CONTRACT-2Y,2-year contract at 15% off,133.92,0.18,551.12,20.0,No tech support add-on; No online security add-on; No device protection; Rolling month-to-month contract; Manual payment method; Under 12 months tenure; Premium fiber plan,NO_TECH_SUPPORT|NO_ONLINE_SECURITY|NO_DEVICE_PROTECTION|MONTH_TO_MONTH|MANUAL_PAYMENT|NEW_CUSTOMER|FIBER_PREMIUM,OFF-CONTRACT-2Y:551|OFF-BUNDLE-ALL:412|OFF-CONTRACT-1Y:367|OFF-TECHSUP-12:244|OFF-SEC-12:130|OFF-AUTOPAY:92,,recommended,3,1
8541-QVFKM,treatment,0.6524,above,5777.0,73.5,8,OFF-CONTRACT-2Y,2-year contract at 15% off,132.3,0.18,546.1,20.0,No tech support add-on; No online security add-on; No device protection; Rolling month-to-month contract; Manual payment method; Under 12 months tenure; Premium fiber plan,NO_TECH_SUPPORT|NO_ONLINE_SECURITY|NO_DEVICE_PROTECTION|MONTH_TO_MONTH|MANUAL_PAYMENT|NEW_CUSTOMER|FIBER_PREMIUM,OFF-CONTRACT-2Y:546|OFF-BUNDLE-ALL:407|OFF-CONTRACT-1Y:364|OFF-TECHSUP-12:241|OFF-SEC-12:128|OFF-AUTOPAY:91,,recommended,3,0
1768-ZAIFU,treatment,0.8388,above,5688.0,25.2,1,OFF-CONTRACT-1Y,1-year contract at 10% off,30.24,0.12,542.29,20.0,No tech support add-on; No online security add-on; No device protection; Rolling month-to-month contract; Manual payment method; Under 12 months tenure,NO_TECH_SUPPORT|NO_ONLINE_SECURITY|NO_DEVICE_PROTECTION|MONTH_TO_MONTH|MANUAL_PAYMENT|NEW_CUSTOMER,OFF-BUNDLE-ALL:547|OFF-CONTRACT-1Y:542|OFF-TECHSUP-12:321|OFF-SEC-12:178|OFF-AUTOPAY:131,OFF-BUNDLE-ALL:R2_MARGIN_FLOOR,recommended,3,1
6910-HADCM,treatment,0.8434,above,5613.0,76.35,1,OFF-BUNDLE-ALL,"Tech Support + Online Security bundle, 12 months",120.51,0.14,542.25,20.0,No tech support add-on; No online security add-on; Rolling month-to-month contract; Manual payment method; Under 12 months tenure; Premium fiber plan,NO_TECH_SUPPORT|NO_ONLINE_SECURITY|MONTH_TO_MONTH|MANUAL_PAYMENT|NEW_CUSTOMER|FIBER_PREMIUM,OFF-BUNDLE-ALL:542|OFF-CONTRACT-1Y:476|OFF-TECHSUP-12:318|OFF-SEC-12:177|OFF-AUTOPAY:129,,recommended,3,1
6372-RFVNS,treatment,0.9319,above,5075.0,78.8,1,OFF-BUNDLE-ALL,"Tech Support + Online Security bundle, 12 months",120.51,0.14,541.6,20.0,No tech support add-on; No online security add-on; No device protection; Rolling month-to-month contract; Manual payment method; Under 12 months tenure; Premium fiber plan,NO_TECH_SUPPORT|NO_ONLINE_SECURITY|NO_DEVICE_PROTECTION|MONTH_TO_MONTH|MANUAL_PAYMENT|NEW_CUSTOMER|FIBER_PREMIUM,OFF-BUNDLE-ALL:542|OFF-CONTRACT-1Y:473|OFF-TECHSUP-12:318|OFF-SEC-12:176|OFF-AUTOPAY:129,,recommended,3,1
6023-YEBUP,treatment,0.8827,above,5351.0,100.95,3,OFF-BUNDLE-ALL,"Tech Support + Online Security bundle, 12 months",120.51,0.14,540.76,20.0,No tech support add-on; No online security add-on; Rolling month-to-month contract; Manual payment method; Under 12 months tenure; Premium fiber plan,NO_TECH_SUPPORT|NO_ONLINE_SECURITY|MONTH_TO_MONTH|MANUAL_PAYMENT|NEW_CUSTOMER|FIBER_PREMIUM,OFF-BUNDLE-ALL:541|OFF-CONTRACT-1Y:446|OFF-TECHSUP-12:318|OFF-SEC-12:176|OFF-AUTOPAY:129,,recommended,3,1
3006-XIMLN,treatment,0.8834,above,5299.0,94.2,2,OFF-BUNDLE-ALL,"Tech Support + Online Security bundle, 12 months",120.51,0.14,534.85,20.0,"No tech support add-on; No online security add-on; No device protection; Rolling month-to-month contract; High bill, few add-ons; Under 12 months tenure; Premium fiber plan",NO_TECH_SUPPORT|NO_ONLINE_SECURITY|NO_DEVICE_PROTECTION|MONTH_TO_MONTH|HIGH_CHARGE_LOW_BUNDLE|NEW_CUSTOMER|FIBER_PREMIUM,OFF-BUNDLE-ALL:535|OFF-CONTRACT-1Y:449|OFF-TECHSUP-12:314|OFF-SEC-12:174,,recommended,3,1
2545-EBUPK,treatment,0.9263,above,5039.0,84.05,2,OFF-BUNDLE-ALL,"Tech Support + Online Security bundle, 12 months",120.51,0.14,532.96,20.0,"No tech support add-on; No online security add-on; No device protection; Rolling month-to-month contract; Manual payment method; High bill, few add-ons; Under 12 months tenure; Premium fiber plan",NO_TECH_SUPPORT|NO_ONLINE_SECURITY|NO_DEVICE_PROTECTION|MONTH_TO_MONTH|MANUAL_PAYMENT|HIGH_CHARGE_LOW_BUNDLE|NEW_CUSTOMER|FIBER_PREMIUM,OFF-BUNDLE-ALL:533|OFF-CONTRACT-1Y:459|OFF-TECHSUP-12:313|OFF-SEC-12:173|OFF-AUTOPAY:127,,recommended,3,0
4587-VVTOX,treatment,0.9541,above,4163.0,105.3,6,OFF-CONTRACT-2Y,2-year contract at 15% off,189.54,0.18,525.41,20.0,No tech support add-on; No online security add-on; Rolling month-to-month contract; Manual payment method; Under 12 months tenure; Premium fiber plan,NO_TECH_SUPPORT|NO_ONLINE_SECURITY|MONTH_TO_MONTH|MANUAL_PAYMENT|NEW_CUSTOMER|FIBER_PREMIUM,OFF-CONTRACT-2Y:525|OFF-BUNDLE-ALL:436|OFF-CONTRACT-1Y:350|OFF-TECHSUP-12:257|OFF-SEC-12:138|OFF-AUTOPAY:99,,recommended,3,1
8622-ZLFKO,treatment,0.8834,above,4297.0,90.75,6,OFF-CONTRACT-2Y,2-year contract at 15% off,163.35,0.18,519.92,20.0,"No tech support add-on; No online security add-on; No device protection; Rolling month-to-month contract; Manual payment method; High bill, few add-ons; Under 12 months tenure; Premium fiber plan",NO_TECH_SUPPORT|NO_ONLINE_SECURITY|NO_DEVICE_PROTECTION|MONTH_TO_MONTH|MANUAL_PAYMENT|HIGH_CHARGE_LOW_BUNDLE|NEW_CUSTOMER|FIBER_PREMIUM,OFF-CONTRACT-2Y:520|OFF-BUNDLE-ALL:411|OFF-CONTRACT-1Y:347|OFF-TECHSUP-12:243|OFF-SEC-12:130|OFF-AUTOPAY:92,,recommended,3,0
3585-ISXZP,treatment,0.7175,above,5335.0,95.65,8,OFF-CONTRACT-2Y,2-year contract at 15% off,172.17,0.18,516.85,20.0,"No tech support add-on; No online security add-on; No device protection; Rolling month-to-month contract; High bill, few add-ons; Under 12 months tenure; Premium fiber plan",NO_TECH_SUPPORT|NO_ONLINE_SECURITY|NO_DEVICE_PROTECTION|MONTH_TO_MONTH|HIGH_CHARGE_LOW_BUNDLE|NEW_CUSTOMER|FIBER_PREMIUM,OFF-CONTRACT-2Y:517|OFF-BUNDLE-ALL:415|OFF-CONTRACT-1Y:345|OFF-TECHSUP-12:246|OFF-SEC-12:131,,recommended,3,1
0970-ETWGE,treatment,0.9068,above,4996.0,89.55,1,OFF-BUNDLE-ALL,"Tech Support + Online Security bundle, 12 months",120.51,0.14,513.74,20.0,"No tech support add-on; No online security add-on; No device protection; Rolling month-to-month contract; Manual payment method; High bill, few add-ons; Under 12 months tenure; Premium fiber plan",NO_TECH_SUPPORT|NO_ONLINE_SECURITY|NO_DEVICE_PROTECTION|MONTH_TO_MONTH|MANUAL_PAYMENT|HIGH_CHARGE_LOW_BUNDLE|NEW_CUSTOMER|FIBER_PREMIUM,OFF-BUNDLE-ALL:514|OFF-CONTRACT-1Y:436|OFF-TECHSUP-12:302|OFF-SEC-12:166|OFF-AUTOPAY:121,,recommended,3,1
0679-IDSTG,treatment,0.99,above,4568.0,69.25,1,OFF-BUNDLE-ALL,"Tech Support + Online Security bundle, 12 months",120.51,0.14,512.61,20.0,No tech support add-on; No online security add-on; No device protection; Rolling month-to-month contract; Manual payment method; Under 12 months tenure; Premium fiber plan,NO_TECH_SUPPORT|NO_ONLINE_SECURITY|NO_DEVICE_PROTECTION|MONTH_TO_MONTH|MANUAL_PAYMENT|NEW_CUSTOMER|FIBER_PREMIUM,OFF-BUNDLE-ALL:513|OFF-CONTRACT-1Y:460|OFF-TECHSUP-12:301|OFF-SEC-12:166|OFF-AUTOPAY:121,,recommended,3,1
6630-UJZMY,treatment,0.8612,above,5251.0,83.25,4,OFF-BUNDLE-ALL,"Tech Support + Online Security bundle, 12 months",120.51,0.14,512.59,20.0,"No tech support add-on; No online security add-on; No device protection; Rolling month-to-month contract; Manual payment method; High bill, few add-ons; Under 12 months tenure; Premium fiber plan",NO_TECH_SUPPORT|NO_ONLINE_SECURITY|NO_DEVICE_PROTECTION|MONTH_TO_MONTH|MANUAL_PAYMENT|HIGH_CHARGE_LOW_BUNDLE|NEW_CUSTOMER|FIBER_PREMIUM,OFF-BUNDLE-ALL:513|OFF-CONTRACT-1Y:443|OFF-TECHSUP-12:301|OFF-SEC-12:166|OFF-AUTOPAY:121,,recommended,3,0
1867-BDVFH,treatment,0.7054,above,5075.0,74.35,11,OFF-CONTRACT-2Y,2-year contract at 15% off,133.83,0.18,510.55,20.0,No tech support add-on; No online security add-on; No device protection; Rolling month-to-month contract; Manual payment method; Under 12 months tenure; Premium fiber plan,NO_TECH_SUPPORT|NO_ONLINE_SECURITY|NO_DEVICE_PROTECTION|MONTH_TO_MONTH|MANUAL_PAYMENT|NEW_CUSTOMER|FIBER_PREMIUM,OFF-CONTRACT-2Y:511|OFF-BUNDLE-ALL:381|OFF-CONTRACT-1Y:340|OFF-TECHSUP-12:226|OFF-SEC-12:119|OFF-AUTOPAY:83,,recommended,3,1
7056-IMHCC,treatment,0.6514,above,5884.0,101.9,53,OFF-CONTRACT-2Y,2-year contract at 15% off,183.42,0.18,506.49,20.0,No tech support add-on; No online security add-on; No device protection; Rolling month-to-month contract; Manual payment method; Premium fiber plan,NO_TECH_SUPPORT|NO_ONLINE_SECURITY|NO_DEVICE_PROTECTION|MONTH_TO_MONTH|MANUAL_PAYMENT|FIBER_PREMIUM,OFF-CONTRACT-2Y:506|OFF-BUNDLE-ALL:416|OFF-CONTRACT-1Y:338|OFF-TECHSUP-12:246|OFF-SEC-12:131|OFF-AUTOPAY:93,,recommended,3,1
3030-YDNRM,treatment,0.6409,above,5514.0,74.85,8,OFF-CONTRACT-2Y,2-year contract at 15% off,134.73,0.18,501.38,20.0,No tech support add-on; No online security add-on; No device protection; Rolling month-to-month contract; Manual payment method; Under 12 months tenure; Premium fiber plan,NO_TECH_SUPPORT|NO_ONLINE_SECURITY|NO_DEVICE_PROTECTION|MONTH_TO_MONTH|MANUAL_PAYMENT|NEW_CUSTOMER|FIBER_PREMIUM,OFF-CONTRACT-2Y:501|OFF-BUNDLE-ALL:374|OFF-CONTRACT-1Y:334|OFF-TECHSUP-12:222|OFF-SEC-12:117|OFF-AUTOPAY:81,,recommended,3,0
4735-ASGMA,treatment,0.7435,above,4997.0,98.35,26,OFF-CONTRACT-2Y,2-year contract at 15% off,177.03,0.18,491.72,20.0,No tech support add-on; No online security add-on; Rolling month-to-month contract; Manual payment method; Premium fiber plan,NO_TECH_SUPPORT|NO_ONLINE_SECURITY|MONTH_TO_MONTH|MANUAL_PAYMENT|FIBER_PREMIUM,OFF-CONTRACT-2Y:492|OFF-BUNDLE-ALL:400|OFF-CONTRACT-1Y:328|OFF-TECHSUP-12:237|OFF-SEC-12:126|OFF-AUTOPAY:89,,recommended,3,1
2514-GINMM,treatment,0.9719,above,4490.0,79.5,1,OFF-BUNDLE-ALL,"Tech Support + Online Security bundle, 12 months",120.51,0.14,490.43,20.0,No tech support add-on; No online security add-on; No device protection; Rolling month-to-month contract; Manual payment method; Under 12 months tenure; Premium fiber plan,NO_TECH_SUPPORT|NO_ONLINE_SECURITY|NO_DEVICE_PROTECTION|MONTH_TO_MONTH|MANUAL_PAYMENT|NEW_CUSTOMER|FIBER_PREMIUM,OFF-BUNDLE-ALL:490|OFF-CONTRACT-1Y:428|OFF-TECHSUP-12:289|OFF-SEC-12:158|OFF-AUTOPAY:115,,recommended,3,1
4927-WWOOZ,treatment,0.8863,above,4889.0,91.45,2,OFF-BUNDLE-ALL,"Tech Support + Online Security bundle, 12 months",120.51,0.14,486.13,20.0,"No tech support add-on; No online security add-on; Rolling month-to-month contract; Manual payment method; High bill, few add-ons; Under 12 months tenure; Premium fiber plan",NO_TECH_SUPPORT|NO_ONLINE_SECURITY|MONTH_TO_MONTH|MANUAL_PAYMENT|HIGH_CHARGE_LOW_BUNDLE|NEW_CUSTOMER|FIBER_PREMIUM,OFF-BUNDLE-ALL:486|OFF-CONTRACT-1Y:410|OFF-TECHSUP-12:286|OFF-SEC-12:156|OFF-AUTOPAY:113,,recommended,3,0
9465-RWMXL,control,0.582,above,5949.0,78.9,32,OFF-CONTRACT-2Y,2-year contract at 15% off,142.02,0.18,481.2,20.0,No tech support add-on; No online security add-on; Rolling month-to-month contract; Manual payment method; Premium fiber plan,NO_TECH_SUPPORT|NO_ONLINE_SECURITY|MONTH_TO_MONTH|MANUAL_PAYMENT|FIBER_PREMIUM,OFF-CONTRACT-2Y:481|OFF-BUNDLE-ALL:364|OFF-CONTRACT-1Y:321|OFF-TECHSUP-12:217|OFF-SEC-12:113|OFF-AUTOPAY:78,,recommended,3,1
3338-CVVEH,treatment,0.6304,above,5674.0,94.55,12,OFF-CONTRACT-2Y,2-year contract at 15% off,170.19,0.18,473.65,20.0,"No tech support add-on; No online security add-on; No device protection; Rolling month-to-month contract; Manual payment method; High bill, few add-ons; Premium fiber plan",NO_TECH_SUPPORT|NO_ONLINE_SECURITY|NO_DEVICE_PROTECTION|MONTH_TO_MONTH|MANUAL_PAYMENT|HIGH_CHARGE_LOW_BUNDLE|FIBER_PREMIUM,OFF-CONTRACT-2Y:474|OFF-BUNDLE-ALL:380|OFF-CONTRACT-1Y:316|OFF-TECHSUP-12:226|OFF-SEC-12:119|OFF-AUTOPAY:83,,recommended,3,0
7409-KIUTL,treatment,0.794,above,5345.0,71.0,1,OFF-BUNDLE-ALL,"Tech Support + Online Security bundle, 12 months",120.51,0.14,473.64,20.0,No tech support add-on; No online security add-on; No device protection; Rolling month-to-month contract; Manual payment method; Under 12 months tenure; Premium fiber plan,NO_TECH_SUPPORT|NO_ONLINE_SECURITY|NO_DEVICE_PROTECTION|MONTH_TO_MONTH|MANUAL_PAYMENT|NEW_CUSTOMER|FIBER_PREMIUM,OFF-BUNDLE-ALL:474|OFF-CONTRACT-1Y:424|OFF-TECHSUP-12:279|OFF-SEC-12:152|OFF-AUTOPAY:110,,recommended,3,1
8361-LTMKD,treatment,0.7211,above,5839.0,74.4,4,OFF-BUNDLE-ALL,"Tech Support + Online Security bundle, 12 months",120.51,0.14,468.96,20.0,No tech support add-on; No online security add-on; No device protection; Rolling month-to-month contract; Manual payment method; Under 12 months tenure; Premium fiber plan,NO_TECH_SUPPORT|NO_ONLINE_SECURITY|NO_DEVICE_PROTECTION|MONTH_TO_MONTH|MANUAL_PAYMENT|NEW_CUSTOMER|FIBER_PREMIUM,OFF-BUNDLE-ALL:469|OFF-CONTRACT-1Y:416|OFF-TECHSUP-12:276|OFF-SEC-12:150|OFF-AUTOPAY:108,,recommended,3,1
4706-AXVKM,treatment,0.6719,above,5118.0,84.8,11,OFF-CONTRACT-2Y,2-year contract at 15% off,152.64,0.18,466.34,20.0,"No tech support add-on; No online security add-on; No device protection; Rolling month-to-month contract; High bill, few add-ons; Under 12 months tenure; Premium fiber plan",NO_TECH_SUPPORT|NO_ONLINE_SECURITY|NO_DEVICE_PROTECTION|MONTH_TO_MONTH|HIGH_CHARGE_LOW_BUNDLE|NEW_CUSTOMER|FIBER_PREMIUM,OFF-CONTRACT-2Y:466|OFF-BUNDLE-ALL:361|OFF-CONTRACT-1Y:311|OFF-TECHSUP-12:215|OFF-SEC-12:112,,recommended,3,1
7363-QTBIW,treatment,0.7239,above,4654.0,79.75,9,OFF-CONTRACT-2Y,2-year contract at 15% off,143.55,0.18,462.88,20.0,No tech support add-on; No online security add-on; No device protection; Rolling month-to-month contract; Manual payment method; Under 12 months tenure; Premium fiber plan,NO_TECH_SUPPORT|NO_ONLINE_SECURITY|NO_DEVICE_PROTECTION|MONTH_TO_MONTH|MANUAL_PAYMENT|NEW_CUSTOMER|FIBER_PREMIUM,OFF-CONTRACT-2Y:463|OFF-BUNDLE-ALL:351|OFF-CONTRACT-1Y:309|OFF-TECHSUP-12:209|OFF-SEC-12:108|OFF-AUTOPAY:75,,recommended,3,0
1320-HTRDR,treatment,0.6941,above,5948.0,75.5,3,OFF-BUNDLE-ALL,"Tech Support + Online Security bundle, 12 months",120.51,0.14,457.48,20.0,No tech support add-on; No online security add-on; No device protection; Rolling month-to-month contract; Manual payment method; Under 12 months tenure; Premium fiber plan,NO_TECH_SUPPORT|NO_ONLINE_SECURITY|NO_DEVICE_PROTECTION|MONTH_TO_MONTH|MANUAL_PAYMENT|NEW_CUSTOMER|FIBER_PREMIUM,OFF-BUNDLE-ALL:457|OFF-CONTRACT-1Y:405|OFF-TECHSUP-12:270|OFF-SEC-12:146|OFF-AUTOPAY:105,,recommended,3,1
5196-SGOAK,treatment,0.8434,above,4884.0,75.7,1,OFF-BUNDLE-ALL,"Tech Support + Online Security bundle, 12 months",120.51,0.14,456.17,20.0,No tech support add-on; No online security add-on; No device protection; Rolling month-to-month contract; Manual payment method; Under 12 months tenure; Premium fiber plan,NO_TECH_SUPPORT|NO_ONLINE_SECURITY|NO_DEVICE_PROTECTION|MONTH_TO_MONTH|MANUAL_PAYMENT|NEW_CUSTOMER|FIBER_PREMIUM,OFF-BUNDLE-ALL:456|OFF-CONTRACT-1Y:403|OFF-TECHSUP-12:269|OFF-SEC-12:146|OFF-AUTOPAY:105,,recommended,3,1
4301-VVZKA,treatment,0.6047,above,5432.0,75.4,16,OFF-CONTRACT-2Y,2-year contract at 15% off,135.72,0.18,455.53,20.0,No tech support add-on; No online security add-on; No device protection; Rolling month-to-month contract; Manual payment method; Premium fiber plan,NO_TECH_SUPPORT|NO_ONLINE_SECURITY|NO_DEVICE_PROTECTION|MONTH_TO_MONTH|MANUAL_PAYMENT|FIBER_PREMIUM,OFF-CONTRACT-2Y:456|OFF-BUNDLE-ALL:339|OFF-CONTRACT-1Y:304|OFF-TECHSUP-12:202|OFF-SEC-12:104|OFF-AUTOPAY:71,,recommended,3,0
